Station,UID,Number of passengers
Ikebukuro,I01,"518,135"
Otemachi,O01,"334,541"
KitaSenju,K01,"241,001"
Ginza,G01,"230,271"
Toyosu,T01,"210,782"
Shimbashi,S01,"204,567"
Shinjuku,S02,"199,942"
Tokyo,T02,"199,232"
Shibuya,S03,"191,505"
Ueno,U01,"189,373"
OmoteSando,O02,"176,901"
Takadanobaba,T03,"175,766"
Nihombashi,N01,"175,343"
Iidabashi,I02,"159,807"
NishiNippori,N02,"154,330"
ShinjukuSanchome,S04,"152,460"
Yurakucho,Y01,"139,041"
Ichigaya,I03,"133,367"
Kasumigaseki,K02,"132,884"
KokkaiGijidomaeTameikeSanno,K03,"123,538"
Yotsuya,Y02,"117,584"
Mitsukoshimae,M01,"117,531"
Toyocho,T04,"114,708"
Kayabacho,K04,"112,343"
Akihabara,A01,"111,781"
Roppongi,R01,"110,298"
MonzenNakacho,M02,"108,733"
Asakusa,A02,"108,544"
Kamiyacho,K05,"107,982"
MeijiJingumae,M03,"105,665"
Kinshicho,K06,"104,930"
Korakuen,K07,"104,894"
Ebisu,E01,"104,751"
Hatchobori,H01,"102,173"
AoyamaItchome,A03,"100,057"
Kasai,K08,"99,258"
NishiKasai,N03,"96,546"
Toranomon,T05,"96,029"
Shinkiba,S05,"95,764"
Hibiya,H02,"93,712"
AkasakaMitsuke,A04,"89,214"
ShinOchanomizu,S06,"87,057"
Ogikubo,O03,"85,957"
Jimbocho,J01,"85,815"
NishiShinjuku,N04,"85,481"
HigashiGinza,H03,"82,069"
Waseda,W01,"79,978"
Urayasu,U02,"78,626"
Myogadani,M04,"78,606"
Akasaka,A05,"77,718"
Nagatacho,N05,"75,272"
Gaiemmae,G02,"74,637"
Suitengumae,S07,"74,355"
RoppongiItchome,R02,"74,305"
Hanzomon,H04,"73,487"
NakanoSakaue,N06,"73,237"
Kiba,K09,"72,289"
Tsukishima,T06,"70,195"
Ningyocho,N07,"65,187"
Machiya,M05,"60,574"
Oji,O04,"60,412"
Minamisunamachi,M06,"59,562"
Tsukiji,T07,"59,492"
KiyosumiShirakawa,K10,"58,792"
Hiroo,H05,"58,660"
Awajicho,A06,"57,894"
ToranomonHills,T08,"56,595"
Kanda,K11,"56,241"
Kojimachi,K12,"56,238"
Kyobashi,K13,"56,104"
Sumiyoshi,S08,"54,816"
Gyotoku,G03,"54,606"
Ochanomizu,O05,"54,548"
HongoSanchome,H06,"51,198"
MinamiGyotoku,M07,"50,950"
ChikatetsuNarimasu,C01,"50,698"
Myoden,M08,"50,244"
Edogawabashi,E02,"49,844"
ShinjukuGyoemmae,S09,"48,832"
Minowa,M09,"46,924"
HigashiIkebukuro,H07,"45,348"
KitaAyase,K14,"43,371"
AzabuJuban,A07,"43,260"
Heiwadai,H08,"42,893"
YotsuyaSanchome,Y03,"42,890"
Takebashi,T09,"42,156"
NakaOkachimachi,N08,"41,623"
Kanamecho,K15,"40,890"
Gokokuji,G04,"40,640"
HigashiShinjuku,H09,"40,302"
Honancho,H10,"40,171"
ChikatetsuAkatsuka,C02,"40,077"
Kagurazaka,K16,"40,020"
Nogizaka,N09,"39,194"
Senkawa,S10,"39,136"
Iriya,I04,"38,480"
Hikawadai,H11,"37,978"
Yushima,Y04,"37,913"
Komagome,K17,"37,671"
Nishiwaseda,N10,"37,411"
Tawaramachi,T10,"36,681"
Shintomicho,S11,"36,625"
OjiKamiya,O06,"36,275"
Kodemmacho,K18,"36,068"
Nijubashimae,N11,"35,289"
ShinKoenji,S12,"35,288"
GinzaItchome,G05,"33,805"
ShinNakano,S13,"33,550"
HigashiKoenji,H12,"33,021"
MinamiSenju,M10,"32,611"
YoyogiKoen,Y05,"28,862"
Sendagi,S14,"28,507"
Nezu,N12,"27,937"
Suehirocho,S15,"27,833"
Tatsumi,T11,"27,776"
MinamiAsagaya,M11,"27,693"
Todaimae,T12,"27,311"
BarakiNakayama,B01,"27,159"
Ochiai,O07,"26,664"
ShinOtsuka,S16,"25,769"
UenoHirokoji,U03,"25,666"
KitaSando,K19,"23,768"
HonKomagome,H13,"21,070"
NakanoShimbashi,N13,"20,570"
Zoshigaya,Z01,"19,401"
NakanoFujimicho,N14,"19,307"
Inaricho,I05,"18,891"
Shimo,S17,"15,187"
Sakuradamon,S18,"13,129"
Nishigahara,N15,"8,976"
Ayase,A08,"384,554"
YoyogiUehara,Y06,"281,306"
NishiFunabashi,N16,"265,133"
NakaMeguro,N17,"203,229"
Oshiage,O08,"183,422"
KotakeMukaihara,K20,"179,783"
Wakoshi,W02,"176,497"
Kudanshita,K21,"162,102"
Nakano,N18,"141,680"
Meguro,M12,"107,777"
AkabaneIwabuchi,A09,"94,035"
ShirokaneTakanawa,S19,"36,926"
Shirokanedai,S20,"16,791"